"date","vs_id","poke1","poke2","poke3","poke4","poke5","poke6","selected_1st","selected_2nd","selected_3rd","my_party_id","selected_1st","selected_2nd","selected_3rd","win/lose/draw/error","comment"
"Sat Dec 10 2022 06:43:14 GMT-0500 (アメリカ東部標準時)","1","ドラパルト","ミミッキュ","グレンアルマ","サザンドラ","キョジオーン","モロバレル","ミミッキュ","ドラパルト","","","","","","×",""
"Sat Dec 10 2022 06:43:32 GMT-0500 (アメリカ東部標準時)","2","サザンドラ","マリルリ","サーフゴー","アーマーガア","ガブリアス","マスカーニャ","サザンドラ","アーマーガア","サーフゴー","","","","","〇",""
"Sat Dec 10 2022 06:43:48 GMT-0500 (アメリカ東部標準時)","3","カバルドン","カイリュー","サザンドラ","ミミッキュ","モロバレル","パルシェン","ミミッキュ","カイリュー","モロバレル","","","","","〇",""
"Wed Dec 21 2022 00:40:23 GMT-0500 (アメリカ東部標準時)","4","ナミイルカ","ドラパルト","ウルガモス","サーフゴー","ドオー","アーマーガア","ドオー","ウルガモス","ナミイルカ","","","","","×",""
"Wed Dec 21 2022 09:11:28 GMT-0500 (アメリカ東部標準時)","5","ヌメルゴン","ラウドボーン","カイリュー","ボーマンダ","オノノクス","デカヌチャン","ラウドボーン","ボーマンダ","","","","","","〇","ラウンドボーンの特性が天然であることを忘れていた"
"Thu Dec 22 2022 02:19:48 GMT-0500 (アメリカ東部標準時)","6","ドラパルト","ミミッキュ","サーフゴー","ヘイラッシャ","オーロンゲ","カバルドン","ドラパルト","ミミッキュ","サーフゴー","","","","","-",""
"Thu Dec 22 2022 02:31:48 GMT-0500 (アメリカ東部標準時)","7","ドラパルト","ミミッキュ","サーフゴー","","","","","","","","","","","△","テスト"
"Thu Dec 22 2022 02:45:20 GMT-0500 (アメリカ東部標準時)","8","ドラパルト","ミミッキュ","サーフゴー","ヘイラッシャ","オーロンゲ","カバルドン","","","","","","","","",""
